InfinityLoop1309.NewPipeEnhanced	InfinityLoop1308/PipePipe
S.N.A.K.E	Eve-146T/WORM
SVS.pdfinspector	shardulvs/pdfinspector-android
a2dp.Vol	jroal/a2dpvolume
ac.mdiq.Podcini.A	XilinJia/Podcini.A
ac.mdiq.podcini.X	XilinJia/Podcini.X
ac.robinson.mediaphone	communitymedia/mediaphone
ac.stresa.uturn	XilinJia/UT.urn
acab.naiveha.subrosa	naive-HA/subrosa
acab.naiveha.upnpkino	naive-HA/UpnpKino
acidburn.stims	acidburnmonkey/stims
acr.browser.lightning	anthonycr/Lightning-Browser
agersant.polaris	agersant/polaris-android
ahmaabdo.readify.rss	ahmaabdo/ReadifyRSS
ai.agent1c.hitomi.open	Decentricity/hitomi-android
akylas.alpi.maps	Akylas/alpimaps
allen.town.focus.mastodon	allentown521/FocusMastodon
allen.town.focus.podcast	allentown521/FocusPodcast
alt.nainapps.aer	nain-F49FF806/anemo-aer
alt.nainapps.sharepaste.fdroid	nain-F49FF806/sharepaste.oo
amirz.dngprocessor	amirzaidi/DNGProcessor
amirz.rootless.nexuslauncher	amirzaidi/Launcher3
amirz.shade	amirzaidi/Shade
android.com.ericswpark.camsung	ericswpark/camsung
android.jonas.fakestandby	JonasBernard/FakeStandby
app.agneldev.kochitransitgo	agnelfranciso/Kochi-Transit-Go
app.alextran.immich	immich-app/immich
app.areada	iTsMe-Zen/Areada
app.atrium	retransmit/Atrium
app.bitbag	UXAVIA/bag
app.cclauncher	mlm-games/cclauncher
app.clauncher	mlm-games/CLauncher
app.clearsms	itsluminous/ClearSMS
app.cleartray	roman10/trayzero
app.dapk.st	ouchadam/small-talk
app.dumdum	Project-Mandarin/DumDum
app.easy.launcher	DroidWorksStudio/EasyLauncher
app.eduroam.geteduroam	geteduroam/android-app
app.familygem	michelesalvador/FamilyGem
app.fayaz.otgmaster	moylali/OTGMaster
app.flicky	mlm-games/flicky
app.floatdeck	kxxoling/FloatDeck
app.fluffy	mlm-games/fluffy
app.getknit.knit	getknit/knit
app.govroam.getgovroam	geteduroam/android-app
app.gps_video_logger	abinpaul1/GPS-Video-Logger
app.halma	Crazy-Marvin/Halma
app.hkTransport	angus6b23/hk-transport
app.hypostats	psfinaki/HypoStats
app.inkos	gezimos/inkOS
app.intra	Jigsaw-Code/Intra
app.iremote	mlm-games/IRemote
app.lawnchair	LawnchairLauncher/lawnchair
app.lawnchair.lawnicons	LawnchairLauncher/lawnicons
app.linkclear	kisst/link-clear
app.marlboroadvance.mpvex	marlboro-advance/mpvEx
app.marmalade.tts	maxwhipw/marmalade-tts-android
app.maskan.chat	humammalhas/maskan
app.mcevoy.syncrecordapp	PadraicMCE/SyncRecord_fdroid
app.michaelwuensch.bitbanana	michaelWuensch/BitBanana
app.mlauncher	DroidWorksStudio/mLauncher
app.motionui.android	lbr38/motion-UI
app.murinelauncher	alesimula/Murine-launcher
app.musikus	matthiasemde/musikus-android
app.myzel394.alibi	Myzel394/Alibi
app.myzel394.numberhub	Myzel394/NumberHub
app.nightdrop	nightdropapp/nightdrop
app.notesr	zHd4/NoteSR
app.olauncher	tanujnotes/Olauncher
app.olauncher.light	tanujnotes/Ultra
app.onloc.android	onloc-app/onloc-android
app.organicmaps	organicmaps/organicmaps
app.pachli	pachli/pachli-android
app.passwordstore.agrahn	agrahn/Android-Password-Store
app.passwordstore.pando85	pando85/Android-Password-Store
app.plugbrain.android	msbelaid/PlugBrain
app.podiumpodcasts.podium	aimok04/podium
app.pomodorot	mlm-games/pomodorot
app.pwhs.blockads	pass-with-high-score/blockads-android
app.pwhs.universalinstaller	pass-with-high-score/universal-installer
app.rapidsplit	hantig-code/RapidSplit
app.reading.stoic.stoicreading2	zikalify/StoicReading
app.rikka.savecopy	RikkaApps/SaveCopy
app.schildpad.schildpad	joelpaulkoch/schildpad
app.seeneva.reader	Seeneva/seeneva-reader-android
app.siftrecipes	matscornegoor/sift-recipe-keeper
app.simple.felicity	Hamza417/Felicity
app.simple.inure	Hamza417/Inure
app.simple.peri	Hamza417/Peristyle
app.slauncher	s4nj1th/Slauncher
app.smallthingz.reverb	SmallThingz/reverb
app.smarttube.fdroid	yuliskov/SmartTube
app.smarzaro.foss4g2024.schedule	Smarzaro/Foss4g2024Schedule
app.soundcenter.player	Azare77/sound_center
app.soundtree	CodeMarbles/SoundTree
app.status.mobile	status-im/status-app
app.subster	pLum0/subster
app.suhasdissa.karaoke	SuhasDissa/You-Tune
app.suhasdissa.memerize	SuhasDissa/MemerizeApp
app.suhasdissa.whiteboard	SuhasDissa/SoftBoard
app.tice.TICE.production	TICESoftware/tice-android
app.traced_it	traced-it/traced-it-android
app.tryst	herbiewalker/tryst
app.udderance	divestedcg/udderance-android-wrapper
app.umerfarooq.littlerelay	UmerCodez/LittleRelay
app.umerfarooq.websocketcam	UmerCodez/WebsocketCAM
app.upryzing.clerotri	upryzing/clerotri
app.vger.voyager	aeharding/voyager
app.weatheroverview	HenriDellal/weather-overview
app.wispar.wispar	Scriptbash/Wispar
app.xcy7e.contextium	xcy7e/Contextium
app.zimly.backup	zimly/zimly-backup
app.zornslemma.mypricelog	ZornsLemma/my-price-log
app.zxtune.fdroid	vitamin-caig/zxtune
aq.metallists.loudbang	TheMetallists/LoudBang
ara.memoryguardian	hashemi-hossein/memory-guardian
ara.note	hashemi-hossein/ara-note
art.pegasko.yeeemp	bitrate16/Yeeemp
art.tessell.editor	tessell-art/editor
at.bitfire.davdroid	bitfireAT/davx5-ose
at.bitfire.icsdroid	bitfireAT/icsx5
at.co.schwaerzler.maximilian.doit	maximilian-schwaerzler/Do-It
at.finderlein.noe	finderlein/noefinderlein_flutter
at.hackmas.android.schedule	EventFahrplan/EventFahrplan
at.j0s.meyercard.app	J0s3f/Fechtkarte
at.jclehner.rxdroid	jclehner/rxdroid
at.linuxtage.Eventfahrplan	linuxtage/EventFahrplan
at.manuelbichler.octalsuntime	votacom/octalsuntime
at.priv.graf.zazentimer	georgernstgraf/zazentimer
